id_commune;code_postal;commune
309;11200;LEZIGNAN-CORBIERES
310;11110;SALLES D AUDE
311;11120;MOUSSAN
312;11110;COURSAN
313;12000;LE MONASTERE
314;13002;MARSEILLE 2EME
315;13004;MARSEILLE 4EME
316;13001;MARSEILLE 1ER
317;13016;MARSEILLE 16EME
318;13015;MARSEILLE 15EME
319;13003;MARSEILLE 3EME
320;13014;MARSEILLE 14EME
321;13013;MARSEILLE 14EME
322;13010;MARSEILLE 10EME
323;13007;MARSEILLE 7EME
324;13005;MARSEILLE 5EME
325;13006;MARSEILLE 6EME
326;13009;MARSEILLE 9EME
327;13400;AUBAGNE
328;13008;MARSEILLE 8EME
329;13470;CARNOUX-EN-PROVENCE
330;13260;CASSIS
331;13360;ROQUEVAIRE
332;13600;LA CIOTAT
333;13112;LA DESTROUSSE
334;13390;AURIOL
335;13821;LA PENNE SUR HUVEAUNE
336;13720;LA BOUILLADISSE
337;13119;SAINT SAVOURNIN
338;13830;ROQUEFORT LA BEDOULE
339;13124;PEYPIN
340;13850;GREASQUE
341;13420;GEMENOS
342;13780;CUGES LES PINS
343;13013;MARSEILLE 13EME
344;13012;MARSEILLE 12EME
345;13380;PLAN DE CUQUES
346;13011;MARSEILLE 11EME
347;13004;MARSEILLE 12EME
348;13190;ALLAUCH
349;13140;MIRAMAS
350;13300;SALON-DE-PROVENCE
351;13100;AIX EN PROVENCE
352;13790;ROUSSET
353;13820;ENSUES-LA-REDONNE
354;13220;CHATEAUNEUF-LES-MARTIGUES
355;13127;VITROLLES
356;13700;MARIGNANE
357;13180;GIGNAC-LA-NERTHE
358;13630;EYRAGUES
359;13210;SAINT-REMY-DE-PROVENCE
360;13200;ARLES
361;13690;GRAVESON
362;13430;EYGUIERES
363;13160;CHATEAURENARD
364;14000;CAEN
365;14810;MERVILLE FRANCEVILLE
366;14450;GRANDCAMP-MAISY
367;14100;LISIEUX
368;14600;HONFLEUR
369;14360;TROUVILLE-SUR-MER
370;14160;DIVES-SUR-MER
371;14640;VILLERS-SUR-MER
372;14800;DEAUVILLE
373;14510;HOULGATE
374;14130;PONT-L EVEQUE
375;14910;BLONVILLE-SUR-MER
376;14800;TOURGEVILLE
377;14800;TOUQUES
378;14910;BENERVILLE-SUR-MER
379;14430;DOZULE
380;14600;EQUEMAUVILLE
381;14800;SAINT-ARNOULT
382;14600;RIVIERE-SAINT-SAUVEUR (LA)
383;16000;ANGOULEME
384;16600;RUELLE-SUR-TOUVRE
385;16800;SOYAUX
386;16300;BARBEZIEUX SAINT HILAIRE
387;16340;L'ISLE D'ESPAGNAC
388;16160;GOND PONTOUVRE
389;16470;SAINT-MICHEL
390;17138;SAINT-XANDRE
391;17000;LA ROCHELLE
392;17140;LAGORD
393;17180;PERIGNY
394;17340;CHATELAILLON-PLAGE
395;17440;AYTRE
396;17220;CLAVETTE
397;17111;LOIX
398;17410;SAINT-MARTIN-DE-RE
399;17170;COURCON
400;17880;LES PORTES-EN-RE
401;17138;PUILBOREAU
402;17139;DOMPIERRE-SUR-MER
403;17230;MARANS
404;17590;ARS-EN-RE
405;17690;ANGOULINS
406;17300;ROCHEFORT
407;17430;TONNAY CHARENTE
408;17450;FOURAS
409;17100;SAINTES
410;17600;SAUJON
411;17110;SAINT-GEORGES-DE-DIDONNE
412;17132;MESCHERS-SUR-GIRONDE
413;17120;BARZAN
414;17400;ST JEAN D'ANGELY
415;18100;VIERZON
416;18000;BOURGES
417;18400;SAINT-FLORENT-SUR-CHER
418;18500;MEHUN-SUR-YEVRE
419;18570;MORTHOMIERS
420;18500;ALLOUIS
421;18200;SAINT-AMAND-MONTROND
422;18700;AUBIGNY-SUR-NERE
423;19260;TREIGNAC
424;19000;TULLE
425;19200;USSEL
426;19100;BRIVE LA GAILLARDE
427;19270;USSAC
428;19230;SAINT-SORNIN-LAVOLPS
429;19360;MALEMORT
430;19270;SAINTE FEREOLE
431;21000;DIJON
432;22000;SAINT-BRIEUC
433;22430;ERQUY
434;22400;LAMBALLE-ARMOR
435;22170;CHATELAUDREN-PLOUAGAT
436;22360;LANGUEUX
437;22440;PLOUFRAGAN
438;22580;PLOUHA
439;22500;PAIMPOL
